epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1142,1.0287,0.65632,1.09496,0.50661,0.20314,0.20604,0.09189,3.09439,3.23641,2.10515,0.000541044,0.000541044,0.000541044
2,169.209,1.17187,0.74392,1.14293,0.45345,0.10062,0.11997,0.04542,3.14616,3.04551,2.29098,0.001075,0.001075,0.001075
3,263.779,1.21588,0.77585,1.20041,0.78485,0.19948,0.25607,0.10136,3.00026,2.90143,2.13164,0.00158694,0.00158694,0.00158694
4,357.039,1.3273,0.8124,1.22952,0.5743,0.13872,0.1097,0.04587,3.09212,3.1365,2.17602,0.00156798,0.00156798,0.00156798
5,449.529,1.31342,0.85064,1.23603,0.37607,0.11967,0.12559,0.05074,3.13112,3.61454,2.13477,0.00153497,0.00153497,0.00153497
6,606.237,1.37464,0.89326,1.26487,0.49191,0.1676,0.16415,0.05948,3.1452,2.9035,2.14811,0.00150197,0.00150197,0.00150197
7,713.086,1.34993,0.85994,1.22649,0.52044,0.15697,0.12625,0.05421,3.09816,2.81708,2.16186,0.00146896,0.00146896,0.00146896
8,861.602,1.29641,0.82277,1.20274,0.55267,0.15331,0.15385,0.06483,3.06657,2.88404,2.21597,0.00143595,0.00143595,0.00143595
9,967.487,1.29534,0.83136,1.22509,0.41685,0.17346,0.18297,0.07589,3.00916,2.63673,2.09168,0.00140295,0.00140295,0.00140295
10,1128.48,1.33002,0.85492,1.25704,0.26825,0.25694,0.17211,0.07166,2.97873,2.76827,1.98632,0.00136994,0.00136994,0.00136994
11,1252.69,1.36499,0.87296,1.23855,0.24636,0.32088,0.1319,0.0421,3.00808,3.21241,2.04442,0.00133693,0.00133693,0.00133693
12,1375.31,1.35727,0.90649,1.24718,0.54634,0.22562,0.21451,0.07174,2.99913,2.88104,2.05461,0.00130393,0.00130393,0.00130393
13,1497.6,1.31119,0.80118,1.24153,0.49874,0.14554,0.11199,0.04292,3.09262,2.8685,2.10857,0.00127092,0.00127092,0.00127092
14,1606.43,1.32577,0.81721,1.22819,0.55665,0.19598,0.19524,0.0751,2.94196,3.24537,1.99531,0.00123791,0.00123791,0.00123791
